Year,Annual Mean Daily Rainfall (mm),Annual Total Rainfall (mm)
1993,5.56,2029.4
1994,5.83,2127.95
1995,5.72,2087.8
1996,5.02,1837.32
1997,7.27,2653.55
1998,5.9,2153.5
1999,5.12,1868.8
2000,6.42,2343.3
2001,7.62,2781.3
2002,6,2190
2003,4.95,1806.75
2004,3.96,1449.36
2005,7.04,2569.6
2006,6.32,2306.8
2007,4.36,1591.4
2008,7.19,2631.54
2009,4.98,1817.7
2010,5.33,1945.45
2011,3.88,1416.2
2012,4.92,1800.72
2013,6.6,2409
2014,5.71,2084.15
2015,5,1825
2016,7.47,2734.02
2017,6.34,2314.1
2018,5.87,2142.55
2019,5.85,2135.25
2020,5.35,1958.1
2021,5.48,2000.2
2022,5.9,2153.5
