Year,Mean Pressure (hPa)
1950,1011.87
1951,1012.72
1952,1012.45
1953,1012.81
1954,1012.38
1955,1013.02
1956,1012.75
1957,1012.91
1958,1013.4
1959,1013.03
1960,1012.73
1961,1012.53
1962,1013.17
1963,1013.4
1964,1012.64
1965,1012.8
1966,1012.19
1967,1012.72
1968,1012.63
1969,1012.8
1970,1012.45
1971,1013.02
1972,1012.37
1973,1012.55
1974,1012.08
1975,1012.54
1976,1013.06
1977,1013.41
1978,1012.66
1979,1012.97
1980,1013.39
1981,1013.12
1982,1012.99
1983,1013.71
1984,1012.47
1985,1012.29
1986,1013.09
1987,1013.84
1988,1013.14
1989,1013.02
1990,1012.87
1991,1013.24
1992,1013.3
1993,1013.62
1994,1012.7
1995,1013.67
1996,1012.94
1997,1013.28
1998,1012.79
1999,1011.91
2000,1011.92
2001,1012.18
2002,1012.83
2003,1013.23
2004,1013.07
2005,1012.98
2006,1012.62
2007,1012.79
2008,1012.82
2009,1012.31
2010,1012.99
2011,1012.84
2012,1011.61
2013,1012.68
2014,1013.05
2015,1013.42
2016,1012.75
2017,1013.24
2018,1012.53
2019,1012.6
2020,1013.41
2021,1012.76
2022,1012.69
