Year,Temperature (Celsius)
1950,22.49
1951,22.14
1952,22.78
1953,22.53
1954,22.66
1955,22.59
1956,22.41
1957,22.31
1958,22.82
1959,23.03
1960,23.08
1961,22.95
1962,22.76
1963,23.3
1964,22.85
1965,23.13
1966,23.83
1967,22.92
1968,22.97
1969,22.77
1970,22.76
1971,22.78
1972,22.85
1973,23.3
1974,22.81
1975,22.86
1976,22.5
1977,23.36
1978,22.85
1979,23.07
1980,23.04
1981,23.12
1982,22.92
1983,23.03
1984,22.49
1985,22.63
1986,22.8
1987,23.39
1988,22.81
1989,23.01
1990,23.12
1991,23.51
1992,22.82
1993,23.13
1994,23.58
1995,22.8
1996,23.31
1997,23.37
1998,24.02
1999,23.77
2000,23.35
2001,23.65
2002,23.93
2003,23.62
2004,23.43
2005,23.29
2006,23.53
2007,23.68
2008,23.11
2009,23.55
2010,23.25
2011,23.07
2012,23.41
2013,23.29
2014,23.5
2015,24.2
2016,23.64
2017,23.9
2018,23.94
2019,24.54
2020,24.4
2021,24.63
2022,23.96
