Date,Average,Cheung Chau,Ching Pak House(Tsing Yi),Hong Kong International Airport ,Hong Kong Observatory,Tseung Kwan O,King's Park,Lau Fau Shan,Peng Chau,Tai Mei Tuk,Shek Kong,Sha Tin,Sheung Shui,Tate's Cairn,Ta Kwu Ling,Tai Mo Shan,Pak Tam Chung (Tsak Yue Wu),The Peak,Waglan Island,Wetland Park
2006-01-01,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
2006-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-03,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
2006-01-04,0.055555556,0,0,0,Trace,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2006-01-05,0.184210526,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.5
2006-01-06,0.027777778,0,0,Trace,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
2006-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-10,0,0,0,Trace,Trace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-11,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
2006-01-12,0.027777778,0,0,Trace,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
2006-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-16,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
2006-01-17,0.673684211,1,0,0.1,0.7,2,0.5,0,0,1.5,0,0.5,0,2,0,2,1,0.5,1,0
2006-01-18,0.405555556,0,0,Trace,0.8,1.5,1,0,0,0,0,0,0,1.5,0,1.5,0.5,0,0.5,0
2006-01-19,0.433333333,0,0,Trace,0.3,2.5,0,0,0,0,0,0.5,0,1,0,0.5,2,0.5,0.5,0
2006-01-20,5.731578947,1,6,8.6,1.3,1,2.5,13.5,2.5,5,9,6.5,11,5,9.5,9,4,1,1,11.5
2006-01-21,2.622222222,3.5,2.5,3.9,4.3,3,3.5,3.5,1.5,2,1.5,2,2,2.5,1.5,1.5,2,4.5,2,***
2006-01-22,0.09375,0,0,Trace,Trace,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,***
2006-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-24,0,0,0,0,Trace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-27,0,0,0,Trace,Trace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-28,5.763157895,5.5,4,4.7,6.8,7,7,7,4.5,3,5,5.5,6.5,7,7,7,5,8.5,2,6.5
2006-01-29,1.463157895,2,1,0.7,2.1,3,2,0.5,1,0.5,0.5,1,0.5,2,0.5,0.5,1.5,2,6,0.5
