Date,Mean Pressure (hPa),Cheung Chau,Hong Kong International Airport,Hong Kong Observatory,Lau Fau Shan,Shek Kong,Sha Tin,Ta Kwu Ling,Waglan Island
2006-01-01,1019.8,1019.8,1019.7,1019.9,1019.9,1019.9,1019.5,1020,1019.7
2006-01-02,1019.0875,1019,1018.9,1019.2,1019.1,1019.2,1018.9,1019.4,1019
2006-01-03,1016.8625,1016.8,1016.5,1017.1,1016.8,1016.8,1016.9,1017.2,1016.8
2006-01-04,1014.5375,1014.5,1014.2,1014.8,1014.5,1014.5,1014.4,1014.8,1014.6
2006-01-05,1018.925,1018.4,1018.9,1018.8,1019.4,1019.4,1018.7,1019.5,1018.3
2006-01-06,1025.025,1024.3,1025.5,1024.8,1025.8,1025.4,1024.7,1025.8,1023.9
2006-01-07,1025.225,1024.8,1025.4,1025.1,1025.9,1025.1,1025,1025.9,1024.6
2006-01-08,1023.7375,1023.6,1023.8,1023.7,1024.3,1023.4,1023.5,1024.3,1023.3
2006-01-09,1021.8125,1021.7,1022.1,1021.7,1022.4,1021.6,1021.5,1022.2,1021.3
2006-01-10,1019.3875,1019.4,1019.5,1019.5,1019.7,1019.1,1019.1,1019.7,1019.1
2006-01-11,1017.375,1017.4,1017.2,1017.6,1017.4,1017.2,1017.2,1017.6,1017.4
2006-01-12,1015.6375,1015.6,1015.4,1015.9,1015.6,1015.6,1015.5,1015.9,1015.6
2006-01-13,1014.9125,1015,1014.8,1015,1014.9,1015.1,1014.6,1015,1014.9
2006-01-14,1015.8375,1015.8,1015.6,1016.1,1015.8,1015.9,1015.6,1016,1015.9
2006-01-15,1015.9125,1015.9,1015.9,1016.1,1016,1016,1015.7,1016.2,1015.5
2006-01-16,1014.9625,1015,1014.8,1015.2,1014.9,1015,1014.6,1015.1,1015.1
2006-01-17,1015.4375,1015.4,1015,1015.8,1015.3,1015.3,1015.5,1015.7,1015.5
2006-01-18,1013.0375,1013.1,1012.5,1013.5,1012.7,1012.9,1013.1,1013.3,1013.2
2006-01-19,1011.025,1011,1010.5,1011.5,1010.7,1011,1011,1011.2,1011.3
2006-01-20,1013.525,1012.9,1013.9,1013.3,1014,1013.9,1013.3,1014,1012.9
2006-01-21,1017.1625,1016.4,1017.8,1016.9,1018,1017.5,1016.9,1017.7,1016.1
2006-01-22,1018.375,1017.9,1018.8,1018.2,1019.1,1018.3,1018.1,1019,1017.6
2006-01-23,1022.025,1021.7,1022.4,1021.9,1022.8,1021.8,1021.7,1022.5,1021.4
2006-01-24,1022.8,1022.6,1023.1,1022.8,1023.4,1022.5,1022.5,1023.2,1022.3
2006-01-25,1022.6875,1022.5,1022.9,1022.7,1023.1,1022.6,1022.3,1023.1,1022.3
2006-01-26,1022.7375,1022.4,1023,1022.7,1023.2,1022.7,1022.3,1023.3,1022.3
2006-01-27,1019.6375,1019.5,1019.7,1019.7,1019.9,1019.5,1019.4,1020.1,1019.3
2006-01-28,1017.275,1017.2,1017.3,1017.4,1017.5,1017.1,1017,1017.6,1017.1
2006-01-29,1017.3,1017.3,1017.2,1017.6,1017.4,1017.1,1017,1017.5,1017.3
2006-01-30,1019.2625,1019.2,1019.1,1019.5,1019.3,1019.2,1019,1019.5,1019.3
2006-01-31,1019.6375,1019.7,1019.6,1019.8,1019.7,1019.7,1019.2,1019.8,1019.6
2006-02-01,1020.7125,1020.7,1020.4,1021,1020.6,1020.7,1020.5,1021,1020.8
2006-02-02,1021.9625,1021.9,1021.6,1022.2,1021.7,1021.8,1022.1,1022.4,1022
2006-02-03,1023.9875,1023.9,1023.7,1024.2,1024,1024.1,1023.8,1024.3,1023.9
2006-02-04,1026.675,1026.5,1026.5,1026.8,1026.8,1026.9,1026.5,1027.2,1026.2
2006-02-05,1023.7375,1023.6,1023.7,1023.9,1023.9,1023.7,1023.5,1024.2,1023.4
2006-02-06,1019.6125,1019.6,1019.6,1019.7,1019.7,1019.7,1019.2,1019.9,1019.5
