Year,Annual Total Rainfall (mm),Annual Carbon emissions (kilotonnes) ,Annual Mean Pressure (hPa),Annual Mean Relative Humidity (%),Annual Mean Temperature (Celsius)
1950,2075.5,1319,1011.87,80.25,22.49
1951,2363.9,1557,1012.72,81.5,22.14
1952,2544.3,1535,1012.45,81.31,22.78
1953,2360.2,1729,1012.81,82.51,22.53
1954,1367,1799,1012.38,79.08,22.66
1955,2350.2,1879,1013.02,77.01,22.59
1956,1649.3,2121,1012.75,78.01,22.41
1957,2950.3,2363,1012.91,80.38,22.31
1958,2033.6,2374,1013.4,77.73,22.82
1959,2797.4,2703,1013.03,78.75,23.03
1960,2237,2953,1012.73,78.99,23.08
1961,2232.4,3370,1012.53,78.42,22.95
1962,1741,3681,1013.17,75.89,22.76
1963,901.1,4246,1013.4,72.96,23.3
1964,2432.1,4220,1012.64,77.43,22.85
1965,2352.6,4803,1012.8,77.05,23.13
1966,2398.2,5162,1012.19,75.72,23.83
1967,1570.6,6052,1012.72,74.1,22.92
1968,2288.2,6198,1012.63,76.84,22.97
1969,1895.5,7752,1012.8,76.6,22.77
1970,2316.3,8392,1012.45,77.62,22.76
1971,1903.8,9151,1013.02,73.66,22.78
1972,2807.3,9276,1012.37,79.74,22.85
1973,3100.4,9286,1012.55,78.99,23.3
1974,2322.9,10667,1012.08,76.96,22.81
1975,3028.7,11008,1012.54,79.09,22.86
1976,2197.2,12490,1013.06,77.46,22.5
1977,1680,14204,1013.41,76.52,23.36
1978,2593,15714,1012.66,79.22,22.85
1979,2614.7,15838,1012.97,78.5,23.07
1980,1710.6,16600,1013.39,77.57,23.04
1981,1659.5,18617,1013.12,76.99,23.12
1982,3247.5,19623,1012.99,78.45,22.92
1983,2893.8,20912,1013.71,77.67,23.03
1984,2017,22225,1012.47,77.35,22.49
1985,2191.4,22881,1012.29,79.68,22.63
1986,2338.3,25526,1013.09,77.68,22.8
1987,2319.3,28086,1013.84,79.39,23.39
1988,1685,29285,1013.14,78.17,22.81
1989,1944.6,30141,1013.02,77.99,23.01
1990,2046.9,27148,1012.87,79.19,23.12
1991,1639.1,28463,1013.24,77.94,23.51
1992,2678.8,32919,1013.3,78.51,22.82
1993,2343.9,34778,1013.62,78.19,23.13
1994,2725.6,31079,1012.7,79.14,23.58
1995,2754.4,31267,1013.67,77.41,22.8
1996,2249.1,28909,1012.94,76.39,23.31
1997,3343,30497,1013.28,79.31,23.37
1998,2564.6,38925,1012.79,79.17,24.02
1999,2129.1,42549,1011.91,75.4,23.77
2000,2752.3,40283,1011.92,78.07,23.35
2001,3091.8,37802,1012.18,77.92,23.65
2002,2490,39485,1012.83,79.18,23.93
2003,1941.9,43202,1013.23,77.48,23.62
2004,1738.6,41569,1013.07,76.99,23.43
2005,3214.5,43731,1012.98,79.27,23.29
2006,2627.8,41915,1012.62,80.47,23.53
2007,1706.9,43572,1012.79,76.75,23.68
2008,3066.2,42791,1012.82,76.76,23.11
2009,2182.3,41579,1012.31,77.27,23.55
2010,2371.7,40063,1012.99,80.16,23.25
2011,1487.2,43150,1012.84,75.86,23.07
2012,1924.7,42742,1011.61,80.9,23.41
